,0
2020-01-02,103.0
2020-01-03,148.0
2020-01-04,-89.0
2020-01-05,-108.0
2020-01-06,-30.0
2020-01-07,48.0
2020-01-08,28.0
2020-01-09,71.0
2020-01-10,-120.0
2020-01-11,3.0
2020-01-12,-13.0
2020-01-13,51.0
2020-01-14,38.0
2020-01-15,-32.0
2020-01-16,49.0
2020-01-17,-137.0
2020-01-18,38.0
2020-01-19,-4.0
2020-01-20,-27.0
2020-01-21,87.0
2020-01-22,42.0
2020-01-23,-39.0
2020-01-24,48.0
2020-01-25,-78.0
2020-01-26,32.0
2020-01-27,-49.0
2020-01-28,-6.0
2020-01-29,74.0
2020-01-30,-9.0
2020-01-31,-20.0
2020-02-01,-45.0
2020-02-02,-48.0
2020-02-03,34.0
2020-02-04,2.0
2020-02-05,59.0
2020-02-06,-37.0
2020-02-07,15.0
2020-02-08,-43.0
2020-02-09,-8.0
2020-02-10,-80.0
2020-02-11,-3.0
2020-02-12,69.0
2020-02-13,23.0
2020-02-14,10.0
2020-02-15,-37.0
2020-02-16,7.0
2020-02-17,-7.0
2020-02-18,77.0
2020-02-19,-24.0
2020-02-20,-14.0
2020-02-21,-42.0
2020-02-22,27.0
2020-02-23,11.0
2020-02-24,116.0
2020-02-25,-111.0
2020-02-26,80.0
2020-02-27,-67.0
2020-02-28,-25.0
2020-02-29,26.0
2020-03-01,-11.0
2020-03-02,-41.0
2020-03-03,56.0
2020-03-04,-11.0
2020-03-05,1.0
2020-03-06,-58.0
2020-03-07,74.0
2020-03-08,-91.0
2020-03-09,87.0
2020-03-10,8.0
2020-03-11,18.0
2020-03-12,35.0
2020-03-13,-10.0
2020-03-14,-51.0
2020-03-15,-23.0
2020-03-16,114.0
2020-03-17,177.0
2020-03-18,26.0
2020-03-19,25.0
2020-03-20,-91.0
2020-03-21,-97.0
2020-03-22,5.0
2020-03-23,110.0
2020-03-24,-119.0
2020-03-25,-22.0
2020-03-26,9.0
2020-03-27,81.0
2020-03-28,-128.0
2020-03-29,85.0
2020-03-30,138.0
2020-03-31,-165.0
2020-04-01,-65.0
2020-04-02,-2.0
2020-04-03,96.0
2020-04-04,-88.0
2020-04-05,59.0
2020-04-06,-18.0
2020-04-07,-15.0
2020-04-08,-13.0
2020-04-09,78.0
2020-04-10,-23.0
2020-04-11,-64.0
2020-04-12,-127.0
2020-04-13,25.0
2020-04-14,7.0
2020-04-15,134.0
2020-04-16,-17.0
2020-04-17,86.0
2020-04-18,-25.0
2020-04-19,-75.0
2020-04-20,60.0
2020-04-21,18.0
2020-04-22,86.0
2020-04-23,-54.0
2020-04-24,-72.0
2020-04-25,-95.0
2020-04-26,35.0
2020-04-27,55.0
2020-04-28,-21.0
2020-04-29,-11.0
2020-04-30,117.0
2020-05-01,-62.0
2020-05-02,-128.0
2020-05-03,-8.0
2020-05-04,83.0
2020-05-05,2.0
2020-05-06,46.0
2020-05-07,237.0
2020-05-08,-68.0
2020-05-09,-254.0
2020-05-10,-40.0
2020-05-11,72.0
2020-05-12,74.0
2020-05-13,-18.0
2020-05-14,-35.0
2020-05-15,3.0
2020-05-16,-90.0
2020-05-17,30.0
2020-05-18,46.0
2020-05-19,33.0
2020-05-20,1.0
2020-05-21,58.0
2020-05-22,68.0
2020-05-23,-106.0
2020-05-24,27.0
2020-05-25,-38.0
2020-05-26,38.0
2020-05-27,6.0
2020-05-28,28.0
2020-05-29,98.0
2020-05-30,-52.0
2020-05-31,-129.0
2020-06-01,27.0
2020-06-02,24.0
2020-06-03,63.0
2020-06-04,-80.0
2020-06-05,68.0
2020-06-06,61.0
2020-06-07,-25.0
2020-06-08,-38.0
2020-06-09,52.0
2020-06-10,-56.0
2020-06-11,-92.0
2020-06-12,319.0
2020-06-13,-200.0
2020-06-14,1.0
2020-06-15,-58.0
2020-06-16,15.0
2020-06-17,2.0
2020-06-18,-49.0
2020-06-19,-46.0
2020-06-20,18.0
2020-06-21,62.0
2020-06-22,-11.0
2020-06-23,-53.0
2020-06-24,55.0
2020-06-25,39.0
2020-06-26,-100.0
2020-06-27,58.0
2020-06-28,59.0
2020-06-29,-95.0
2020-06-30,56.0
2020-07-01,-84.0
2020-07-02,21.0
2020-07-03,-33.0
2020-07-04,-32.0
2020-07-05,35.0
2020-07-06,23.0
2020-07-07,55.0
2020-07-08,-58.0
2020-07-09,-51.0
2020-07-10,-4.0
2020-07-11,5.0
2020-07-12,87.0
2020-07-13,-40.0
2020-07-14,98.0
2020-07-15,-97.0
2020-07-16,7.0
2020-07-17,-30.0
2020-07-18,-146.0
2020-07-19,145.0
2020-07-20,143.0
2020-07-21,-124.0
2020-07-22,-36.0
2020-07-23,-3.0
2020-07-24,4.0
2020-07-25,44.0
2020-07-26,-72.0
2020-07-27,99.0
2020-07-28,-43.0
2020-07-29,57.0
2020-07-30,-109.0
2020-07-31,33.0
2020-08-01,-50.0
2020-08-02,-10.0
2020-08-03,32.0
2020-08-04,63.0
2020-08-05,-18.0
2020-08-06,18.0
2020-08-07,21.0
2020-08-08,-65.0
2020-08-09,-89.0
2020-08-10,175.0
2020-08-11,-32.0
2020-08-12,-72.0
2020-08-13,43.0
2020-08-14,0.0
2020-08-15,-40.0
2020-08-16,32.0
2020-08-17,-33.0
2020-08-18,-7.0
2020-08-19,2.0
2020-08-20,-11.0
2020-08-21,69.0
2020-08-22,-139.0
2020-08-23,-13.0
2020-08-24,46.0
2020-08-25,62.0
2020-08-26,121.0
2020-08-27,-34.0
2020-08-28,-59.0
2020-08-29,-31.0
2020-08-30,-33.0
2020-08-31,73.0
2020-09-01,100.0
2020-09-02,-115.0
2020-09-03,40.0
2020-09-04,-113.0
2020-09-05,-14.0
2020-09-06,-12.0
2020-09-07,98.0
2020-09-08,-52.0
2020-09-09,63.0
2020-09-10,-35.0
2020-09-11,-53.0
2020-09-12,53.0
2020-09-13,-99.0
2020-09-14,48.0
2020-09-15,101.0
2020-09-16,7.0
2020-09-17,-32.0
2020-09-18,-106.0
2020-09-19,36.0
2020-09-20,-50.0
2020-09-21,103.0
2020-09-22,-51.0
2020-09-23,83.0
2020-09-24,-93.0
2020-09-25,22.0
2020-09-26,-39.0
2020-09-27,112.0
2020-09-28,170.0
2020-09-29,-115.0
2020-09-30,-53.0
2020-10-01,-115.0
2020-10-02,162.0
2020-10-03,-104.0
2020-10-04,-9.0
2020-10-05,34.0
2020-10-06,-57.0
2020-10-07,-10.0
2020-10-08,28.0
2020-10-09,31.0
2020-10-10,-45.0
2020-10-11,-8.0
2020-10-12,28.0
2020-10-13,208.0
2020-10-14,124.0
2020-10-15,-260.0
2020-10-16,-78.0
2020-10-17,15.0
2020-10-18,-2.0
2020-10-19,3.0
2020-10-20,-39.0
2020-10-21,232.0
2020-10-22,-76.0
2020-10-23,-31.0
2020-10-24,-141.0
2020-10-25,188.0
2020-10-26,123.0
2020-10-27,-145.0
2020-10-28,-97.0
2020-10-29,9.0
2020-10-30,215.0
2020-10-31,-293.0
2020-11-01,36.0
2020-11-02,176.0
2020-11-03,-41.0
2020-11-04,-13.0
2020-11-05,3.0
2020-11-06,-33.0
2020-11-07,69.0
2020-11-08,-51.0
2020-11-09,-39.0
2020-11-10,146.0
2020-11-11,-254.0
2020-11-12,302.0
2020-11-13,-23.0
2020-11-14,-289.0
2020-11-15,18.0
2020-11-16,-9.0
2020-11-17,76.0
2020-11-18,96.0
2020-11-19,-58.0
2020-11-20,-113.0
2020-11-21,35.0
2020-11-22,-1.0
2020-11-23,148.0
2020-11-24,1.0
2020-11-25,26.0
2020-11-26,-121.0
2020-11-27,-112.0
2020-11-28,38.0
2020-11-29,109.0
2020-11-30,-15.0
2020-12-01,-19.0
2020-12-02,54.0
2020-12-03,-113.0
2020-12-04,24.0
2020-12-05,-72.0
2020-12-06,173.0
2020-12-07,64.0
2020-12-08,-180.0
2020-12-09,28.0
2020-12-10,20.0
2020-12-11,26.0
2020-12-12,-43.0
2020-12-13,89.0
2020-12-14,-69.0
2020-12-15,51.0
2020-12-16,-2.0
2020-12-17,12.0
2020-12-18,-3.0
2020-12-19,-29.0
2020-12-20,-34.0
2020-12-21,-51.0
2020-12-22,7.0
2020-12-23,34.0
2020-12-24,76.0
2020-12-25,-111.0
2020-12-26,-4.0
2020-12-27,88.0
2020-12-28,-31.0
2020-12-29,12.0
2020-12-30,-27.0
2020-12-31,0.0
